Products Released,Lifecycle Start Date,Mainstream Support End Date,Extended Support End Date,Service Pack Support End Date,Notes
"Windows XP Home Edition","31/12/2001","14/04/2009","08/04/2014","30/08/2005","<a href=""http://www.microsoft.com/click/services/Redirect2.ashx?CR_CC=200157148"">Buy Windows 8 now!</a>"
"Windows XP Media Center Edition 2002","28/10/2002","14/04/2009","08/04/2014","30/08/2005",""
"Windows XP Media Center Edition 2004","27/10/2003","14/04/2009","08/04/2014","10/10/2006",""
"Windows XP Media Center Edition 2005","30/12/2004","14/04/2009","08/04/2014","11/01/2011",""
"Windows XP Professional","31/12/2001","14/04/2009","08/04/2014","30/08/2005","<a href=""http://www.microsoft.com/click/services/Redirect2.ashx?CR_CC=200157148"">Buy Windows 8 now!</a>"
"Windows XP Professional x64 Edition","24/04/2005","14/04/2009","08/04/2014","14/04/2009",""
"Windows XP Professional x64 Edition Service Pack 2","12/03/2007","Review Note","Review Note","","Support ends 24 months after the next service pack releases or at the end of the product's support lifecycle, whichever comes first.  For more information, please see the service pack policy <a href="" http://support.microsoft.com/lifecycle/#ServicePackSupport ""> here </a>."
"Windows XP Service Pack 1","30/08/2002","Not Applicable","Not Applicable","10/10/2006",""
"Windows XP Service Pack 1a","03/02/2003","Not Applicable","Not Applicable","10/10/2006",""
"Windows XP Service Pack 2","17/09/2004","Not Applicable","Not Applicable","13/07/2010",""
"Windows XP Service Pack 3","21/04/2008","Review Note","Review Note","","Support ends 24 months after the next service pack releases or at the end of the product's support lifecycle, whichever comes first.  For more information, please see the service pack policy <a href="" http://support.microsoft.com/lifecycle/#ServicePackSupport ""> here </a>."
"Windows XP Tablet PC Edition","11/02/2003","14/04/2009","08/04/2014","10/10/2006",""
"Windows XP Tablet PC Edition 2005","25/08/2004","14/04/2009","08/04/2014","12/07/2011",""
